ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,Hatchback,120000,Manual,MARUTI,2015,400000,Third Party,5 Seats,Third Owner,998,23.1,67.04,Bangalore,10
Petrol,SUV,32706,Manual,FORD,2018,811000,Comprehensive,5 Seats,Second Owner,1497,17,121.31,Bangalore,7
Petrol,Hatchback,11949,Manual,TATA,2018,585000,Comprehensive,5 Seats,First Owner,1199,23.84,84,Bangalore,7
Petrol,Sedan,17794,Manual,HYUNDAI,2014,462000,Comprehensive,5 Seats,First Owner,1197,19.1,81.86,Bangalore,11
Diesel,SUV,60000,Manual,MARUTI,2015,790000,Third Party,5 Seats,First Owner,1248,23.65,88.5,Bangalore,10
Diesel,SUV,20000,Manual,JEEP,2020,1900000,Third Party,5 Seats,First Owner,1956,17.1,170,Bangalore,5
Petrol,Hatchback,37772,Manual,DATSUN,2017,345000,Comprehensive,5 Seats,First Owner,1198,20.63,67,Bangalore,8
Petrol,SUV,30000,Automatic,HYUNDAI,2021,1200000,Third Party,5 Seats,First Owner,998,18.15,118.35,Bangalore,4
Petrol,Sedan,37000,Automatic,MARUTI,2018,960000,Comprehensive,5 Seats,First Owner,1462,20.28,103.25,Bangalore,7
Petrol,Hatchback,11949,Manual,TATA,2017,585000,Comprehensive,5 Seats,First Owner,1199,23.84,84,Bangalore,8
Petrol,Hatchback,50000,Manual,MARUTI,2018,690000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Bangalore,7
Petrol,Hatchback,24887,Automatic,HYUNDAI,2019,682000,Third Party,5 Seats,First Owner,1197,18.9,81.86,Bangalore,6
Petrol,Hatchback,23000,Automatic,HONDA,2018,825000,Comprehensive,5 Seats,First Owner,1199,18.2,88.7,Bangalore,7
Petrol,Hatchback,48928,Automatic,TATA,2018,595000,Comprehensive,5 Seats,First Owner,1199,23.84,83.83,Bangalore,7
Diesel,SUV,108862,Manual,MAHINDRA,2014,690000,Comprehensive,7 Seats,Third Owner,2179,15.1,140,Bangalore,11
Diesel,SUV,80000,Manual,JEEP,2018,1350000,Third Party,5 Seats,First Owner,1956,17.1,170,Bangalore,7
Diesel,SUV,16000,Automatic,MERCEDES-BENZ,2022,5595000,Comprehensive,5 Seats,First Owner,1950,16.6777133,187.74,Bangalore,3
Diesel,Hatchback,65376,Manual,HYUNDAI,2014,521000,Comprehensive,5 Seats,Second Owner,1396,21.27,88.76,Bangalore,11
Petrol,SUV,10000,Manual,TATA,2022,1005000,Third Party,5 Seats,First Owner,1199,17.33,118.35,Bangalore,3
Petrol,Sedan,67000,Manual,HONDA,2016,775000,Comprehensive,5 Seats,Second Owner,1497,17.8,117.3,Bangalore,9
Diesel,Sedan,100000,Automatic,BMW,2011,2200000,Third Party,5 Seats,Third Owner,1995,18.48,177,Bangalore,14
Petrol,Hatchback,18083,Manual,MARUTI,2016,582000,Comprehensive,5 Seats,First Owner,1197,22.38,88.5,Bangalore,9
Petrol,SUV,30000,Manual,RENAULT,2020,1090000,Third Party,5 Seats,First Owner,1498,16.42,104.55,Bangalore,5
Petrol,Hatchback,57634,Manual,TATA,2016,457000,Comprehensive,5 Seats,Second Owner,1199,23.84,84,Bangalore,9
Petrol,Sedan,50000,Automatic,MERCEDES-BENZ,2016,4900000,Third Party,5 Seats,Second Owner,2987,7.81,453.26,Bangalore,9
Petrol,Sedan,110000,Manual,HONDA,2015,550000,Third Party,5 Seats,First Owner,1497,17.4,117.3,Bangalore,10
Petrol,Hatchback,23447,Automatic,HYUNDAI,2018,570000,Comprehensive,5 Seats,First Owner,1086,20.3,68,Bangalore,7
